ident,gene4550,bacplus,typinact,ageinact,ageact,age_enq
1509,0,0,Autres,31,35,69
2014,0,0,Retour foyer - inactivite,33,37,67
676,1,1,Retour foyer - inactivite,23,27,51
1680,1,1,Autres,50,0,54
2379,0,0,Retour foyer - inactivite,21,25,64
1697,0,0,Retour foyer - inactivite,32,36,61
2101,0,0,Retour foyer - inactivite,29,33,65
2685,1,0,Retour foyer - inactivite,33,37,50
517,1,0,Retour foyer - inactivite,26,30,54
1743,1,0,Autres,46,0,50
140,0,0,Retour foyer - inactivite,20,24,65
1580,1,1,Retour foyer - inactivite,47,0,51
513,0,0,Retour foyer - inactivite,40,44,67
318,1,1,Retour foyer - inactivite,35,39,53
1446,1,0,Retour foyer - inactivite,26,30,55
395,1,1,Retour foyer - inactivite,24,28,57
705,0,1,Retour foyer - inactivite,25,29,64
2264,0,1,Retour foyer - inactivite,21,25,61
2484,1,0,Retour foyer - inactivite,20,24,58
2333,1,0,Retour foyer - inactivite,31,35,53
2722,1,0,Autres,35,39,54
1059,1,0,Retour foyer - inactivite,29,34,56
1279,1,1,Autres,26,31,51
615,0,0,Autres,20,25,63
414,1,0,Autres,24,29,55
1898,1,0,Retour foyer - inactivite,32,37,59
2469,1,0,Retour foyer - inactivite,25,30,52
2932,1,0,Retour foyer - inactivite,23,28,57
2912,1,0,Autres,36,41,57
1062,0,0,Retour foyer - inactivite,21,26,66
264,1,0,Retour foyer - inactivite,27,32,49
1715,1,0,Retour foyer - inactivite,23,28,53
343,0,0,Retour foyer - inactivite,22,27,68
1637,0,1,Retour foyer - inactivite,61,0,66
1909,1,1,Autres,51,0,56
1988,1,0,Retour foyer - inactivite,18,23,60
1956,1,0,Autres,48,0,53
2012,1,0,Retour foyer - inactivite,25,30,59
2798,0,0,Retour foyer - inactivite,36,41,64
2786,1,0,Autres,50,0,55
374,0,0,Retour foyer - inactivite,25,30,61
1772,0,1,Autres,20,25,70
2557,1,0,Retour foyer - inactivite,26,31,53
2577,1,0,Retour foyer - inactivite,18,23,56
987,1,0,Retour foyer - inactivite,29,34,54
2637,0,0,Retour foyer - inactivite,58,0,63
1856,0,0,Retour foyer - inactivite,30,35,61
341,1,0,Retour foyer - inactivite,24,29,57
449,0,0,Autres,56,0,61
631,1,0,Retour foyer - inactivite,23,28,56
493,0,0,Retour foyer - inactivite,38,43,61
2826,1,1,Retour foyer - inactivite,24,29,52
1133,0,0,Retour foyer - inactivite,58,0,63
2665,1,1,Retour foyer - inactivite,37,42,50
944,1,0,Retour foyer - inactivite,33,38,53
2381,0,0,Autres,58,0,64
266,0,0,Retour foyer - inactivite,29,35,64
199,1,0,Retour foyer - inactivite,26,32,49
1865,1,0,Retour foyer - inactivite,29,35,59
1441,1,0,Retour foyer - inactivite,21,27,61
2237,1,0,Retour foyer - inactivite,24,30,56
951,0,1,Retour foyer - inactivite,30,36,63
892,0,1,Autres,25,31,69
2080,1,0,Retour foyer - inactivite,21,27,51
1271,1,0,Retour foyer - inactivite,26,32,59
2775,1,1,Autres,45,0,51
381,0,0,Autres,56,0,62
2680,1,1,Retour foyer - inactivite,40,46,52
981,1,1,Retour foyer - inactivite,30,36,58
1414,1,0,Autres,51,0,57
2362,0,0,Retour foyer - inactivite,23,29,68
1971,0,0,Retour foyer - inactivite,19,25,69
1721,1,0,Retour foyer - inactivite,52,0,58
2317,1,1,Retour foyer - inactivite,21,27,50
2239,1,0,Retour foyer - inactivite,19,25,51
2561,1,0,Retour foyer - inactivite,49,0,55
2298,1,1,Autres,28,34,54
347,1,0,Autres,47,53,54
267,0,1,Autres,59,0,65
2269,1,0,Retour foyer - inactivite,21,27,60
1412,1,0,Retour foyer - inactivite,23,30,52
1661,1,0,Retour foyer - inactivite,21,28,53
1862,1,0,Retour foyer - inactivite,22,29,56
453,1,0,Retour foyer - inactivite,26,33,50
1365,1,1,Retour foyer - inactivite,40,47,56
592,1,0,Autres,34,41,55
1077,1,0,Autres,20,27,54
1928,0,0,Retour foyer - inactivite,29,36,66
1065,1,0,Retour foyer - inactivite,26,33,50
1569,1,0,Retour foyer - inactivite,21,28,57
1868,1,0,Retour foyer - inactivite,28,35,60
2833,1,0,Retour foyer - inactivite,36,43,56
2180,1,1,Autres,24,31,51
450,0,0,Retour foyer - inactivite,21,28,68
2026,1,0,Retour foyer - inactivite,24,31,60
427,1,0,Retour foyer - inactivite,22,29,53
844,1,0,Retour foyer - inactivite,25,32,57
1392,0,0,Retour foyer - inactivite,31,38,61
412,0,0,Retour foyer - inactivite,30,37,62
1504,0,0,Retour foyer - inactivite,57,0,64
171,1,1,Retour foyer - inactivite,36,43,58
377,0,1,Autres,58,0,65
2855,1,0,Retour foyer - inactivite,24,31,52
2697,0,0,Autres,56,0,63
1506,1,0,Retour foyer - inactivite,30,37,59
2759,1,1,Retour foyer - inactivite,23,30,52
1622,0,0,Retour foyer - inactivite,22,29,64
1175,1,0,Retour foyer - inactivite,31,38,52
2110,0,0,Retour foyer - inactivite,20,27,71
696,0,0,Retour foyer - inactivite,38,45,69
1817,0,1,Autres,54,0,62
611,0,0,Retour foyer - inactivite,56,0,64
1776,0,0,Retour foyer - inactivite,23,31,63
2664,1,1,Autres,23,31,50
2444,1,0,Retour foyer - inactivite,25,33,55
2917,1,0,Retour foyer - inactivite,25,33,61
766,0,0,Retour foyer - inactivite,29,37,66
2587,1,0,Retour foyer - inactivite,24,32,53
2347,1,0,Retour foyer - inactivite,38,46,56
456,1,0,Retour foyer - inactivite,23,31,58
1658,0,0,Retour foyer - inactivite,29,37,61
399,1,0,Retour foyer - inactivite,30,38,51
900,1,0,Retour foyer - inactivite,22,30,56
814,1,0,Autres,45,0,53
543,1,1,Retour foyer - inactivite,26,34,55
1674,1,0,Retour foyer - inactivite,21,29,55
2564,1,1,Retour foyer - inactivite,24,32,57
2565,1,1,Retour foyer - inactivite,41,49,56
2390,0,0,Retour foyer - inactivite,22,30,71
356,0,1,Autres,27,35,62
2153,0,1,Retour foyer - inactivite,36,45,68
591,1,0,Retour foyer - inactivite,28,37,51
779,0,0,Retour foyer - inactivite,38,47,66
1317,1,1,Retour foyer - inactivite,49,0,58
1503,1,0,Autres,47,0,56
2194,1,0,Retour foyer - inactivite,23,32,58
1646,1,0,Retour foyer - inactivite,30,39,61
2861,0,0,Retour foyer - inactivite,21,30,66
2888,0,0,Retour foyer - inactivite,57,0,66
1906,1,0,Autres,48,0,57
2771,1,0,Retour foyer - inactivite,24,33,53
