ident,gene4550,bacplus,typinact,ageinact,ageact,age_enq
406,0,1,Autres,27,0,60
1806,1,1,Retour foyer - inactivite,27,0,60
1107,0,1,Retour foyer - inactivite,27,0,60
2344,0,1,Retour foyer - inactivite,32,0,66
840,0,0,Retour foyer - inactivite,27,0,61
2349,1,0,Retour foyer - inactivite,20,0,54
2429,1,0,Retour foyer - inactivite,20,0,54
1660,0,0,Retour foyer - inactivite,29,0,64
1520,1,1,Retour foyer - inactivite,22,0,57
405,1,1,Autres,21,0,56
2714,1,1,Retour foyer - inactivite,24,0,59
2807,0,1,Retour foyer - inactivite,35,0,70
101,0,0,Retour foyer - inactivite,26,0,61
1228,1,1,Retour foyer - inactivite,18,0,53
678,0,0,Retour foyer - inactivite,34,0,70
1524,0,0,Retour foyer - inactivite,26,0,62
2588,1,1,Retour foyer - inactivite,24,0,60
2562,0,0,Retour foyer - inactivite,28,0,64
1485,0,0,Retour foyer - inactivite,32,0,68
731,0,0,Retour foyer - inactivite,28,0,64
1478,0,1,Retour foyer - inactivite,25,0,61
2150,0,0,Retour foyer - inactivite,24,0,61
2746,0,0,Retour foyer - inactivite,33,0,70
495,1,0,Retour foyer - inactivite,20,0,57
150,0,0,Retour foyer - inactivite,32,0,69
270,0,1,Retour foyer - inactivite,23,0,60
1997,0,0,Retour foyer - inactivite,28,0,65
2578,0,1,Retour foyer - inactivite,26,0,63
680,0,0,Autres,32,0,69
2394,0,0,Retour foyer - inactivite,26,0,63
509,0,0,Retour foyer - inactivite,30,0,68
2883,0,0,Retour foyer - inactivite,30,0,68
1729,0,0,Retour foyer - inactivite,25,0,63
718,0,0,Retour foyer - inactivite,25,0,63
498,0,1,Retour foyer - inactivite,26,0,64
383,0,0,Retour foyer - inactivite,23,0,61
2609,0,0,Retour foyer - inactivite,27,0,65
2124,0,0,Retour foyer - inactivite,25,0,63
2335,0,0,Retour foyer - inactivite,26,0,64
249,0,0,Retour foyer - inactivite,25,0,63
605,0,1,Retour foyer - inactivite,23,0,61
1356,0,0,Retour foyer - inactivite,23,0,61
1470,0,0,Retour foyer - inactivite,26,0,64
1994,0,0,Retour foyer - inactivite,28,0,66
1534,0,1,Autres,24,0,62
102,0,0,Retour foyer - inactivite,27,0,65
2688,0,1,Autres,24,0,63
1854,0,0,Retour foyer - inactivite,25,0,64
2650,0,0,Retour foyer - inactivite,28,0,67
1897,1,0,Retour foyer - inactivite,21,0,60
643,0,1,Retour foyer - inactivite,29,0,68
2279,0,1,Retour foyer - inactivite,31,0,70
2468,0,0,Retour foyer - inactivite,30,0,69
2445,0,0,Retour foyer - inactivite,21,0,61
2780,0,1,Retour foyer - inactivite,29,0,69
2563,0,1,Retour foyer - inactivite,27,0,67
738,0,1,Autres,21,0,61
1067,0,0,Autres,29,0,70
2165,0,1,Retour foyer - inactivite,23,0,64
516,0,1,Retour foyer - inactivite,29,0,70
1890,0,1,Retour foyer - inactivite,28,0,69
2414,0,0,Retour foyer - inactivite,25,0,66
2187,0,0,Retour foyer - inactivite,22,0,63
710,0,0,Retour foyer - inactivite,21,0,63
252,0,0,Retour foyer - inactivite,26,0,68
2492,0,0,Autres,28,0,70
1986,0,0,Retour foyer - inactivite,23,0,66
647,0,0,Retour foyer - inactivite,26,0,69
378,0,0,Retour foyer - inactivite,25,0,68
2059,0,1,Retour foyer - inactivite,24,0,68
172,0,0,Autres,21,0,65
2734,0,0,Retour foyer - inactivite,22,0,66
554,0,1,Retour foyer - inactivite,20,0,64
1474,0,0,Retour foyer - inactivite,24,0,68
2897,0,0,Retour foyer - inactivite,24,0,68
2257,0,0,Retour foyer - inactivite,24,0,68
1554,0,0,Retour foyer - inactivite,20,0,65
2671,0,0,Retour foyer - inactivite,21,0,66
2068,0,0,Retour foyer - inactivite,22,0,67
925,0,1,Autres,22,0,68
433,0,0,Autres,16,0,62
2105,0,0,Retour foyer - inactivite,22,0,69
789,0,0,Retour foyer - inactivite,23,0,70
2716,0,0,Retour foyer - inactivite,20,0,68
2327,0,0,Retour foyer - inactivite,22,0,70
2777,0,0,Retour foyer - inactivite,20,0,69
2358,0,0,Retour foyer - inactivite,21,0,70
817,0,0,Retour foyer - inactivite,20,0,70
1125,0,0,Retour foyer - inactivite,20,0,70
2654,0,0,Retour foyer - inactivite,18,0,69
2640,0,0,Retour foyer - inactivite,18,0,70
